Latitude,Longitude,Altitude
49.4661464,11.3208887,545.0
52.2497479,8.8997958,147.0
50.2305883,8.7733682,120.0
52.1309305,11.6350859,62.0
52.1294675,11.6287831,57.0
49.3038603,8.648954,108.0
49.4201431,11.2252737,374.0
49.6573956,9.0195754,276.0
50.088016,9.1603385,223.0
52.1001767,13.1804759,46.0
52.0365785,8.8352489,104.0
49.9778623,9.1408587,128.0
49.4436254,8.6706107,107.0
49.4425555,8.6690983,106.0
49.9793075,9.1505147,137.0
51.9743992,10.224745,220.0
49.3909631,8.7016171,301.0
49.4064795,8.691822,120.0
52.1414657,12.5824457,92.0
51.8645455,12.6527259,75.0
49.6806555,8.6201027,105.0
49.0829443,9.1818107,191.0
50.9484945,11.5991103,160.0
49.1408227,8.6077439,129.0
50.0749519,8.9626011,108.0
49.0180645,8.5703529,215.0
50.4302972,12.0883539,402.0
51.9190804,8.8932958,186.0
50.0878204,8.9821613,109.0
50.318042,11.563524,640.0
50.396568,11.5096,668.0
49.4040432,8.6789769,113.0
50.037364,8.6032272,115.0
50.4249894,11.5968851,699.0
49.8414132,8.6842858,241.0
49.8410662,8.6837822,244.0
49.3762186,10.2200321,389.0
50.0785277,8.9360488,107.0
50.0661404,8.9709957,108.0
49.5648312,11.3603626,424.0
49.5595343,11.3663479,501.0
51.8132712,12.2258941,59.0
49.2645271,8.6298565,109.0
49.3609376,9.0227327,266.0
49.5568534,8.8124329,481.0
51.844584,12.3663755,63.0
50.1054143,8.6963844,103.0
50.3610383,11.5680865,534.0
51.0137003,13.1627657,253.0
52.083278,8.7498593,81.0
52.1379477,12.5873549,91.0
49.6283415,11.2210448,343.0
49.6030246,11.2337792,342.0
50.1060004,8.7605532,119.0
50.1057409,8.7634523,117.0
49.8154108,11.2169697,395.0
49.2189348,8.6632226,124.0
52.0841423,8.7460309,80.0
49.3402129,9.2252918,256.0
49.2065862,10.1453414,509.0
50.183591,8.4688546,380.0
51.3065681,9.5014197,142.0
50.939503,10.7004859,310.0
49.1620727,8.6325394,126.0
50.2835782,8.5704959,347.0
52.3560471,9.5816655,71.0
49.8496376,9.8369213,303.0
49.7657222,8.995194,183.0
49.3991416,8.9907737,383.0
50.0783253,8.4630011,126.0
50.0410377,10.5719391,295.0
49.320014,12.7058157,691.0
49.8058159,11.2494427,303.0
49.7783457,11.2943021,320.0
49.7883138,11.2793038,318.0
49.9612738,9.1253415,117.0
49.7541142,9.8490152,380.0
52.3071581,9.6003771,89.0
