Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Elevation
48.000146,9.891401,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,681
48.15324,9.85579,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,534
48.0642929,9.8301367,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,542
48.042221,10.081933,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,570
48.04271,10.08159,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,567
48.046929,10.079806,13.2,AC Steckdose Typ 2,11,,,,,,,565
48.1247,10.112164,98,AC Kupplung Typ 2,43,DC Kupplung Combo,50,,,,,536
48.12546,10.109536,150,DC Kupplung Combo,150,DC Kupplung Combo,75,,,,,536
48.124692,10.112158,150,DC Kupplung Combo,150,"DC Kupplung Combo, DC CHAdeMO",75,,,,,536
48.125522,10.10901657,300,DC Kupplung Combo,300,DC Kupplung Combo,300,,,,,536
48.125522,10.10901657,300,DC Kupplung Combo,300,DC Kupplung Combo,300,,,,,536
48.125522,10.10901657,300,DC Kupplung Combo,300,DC Kupplung Combo,300,,,,,536
48.201828,10.838866,44,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,544
48.201828,10.838866,44,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,,,,,544
48.088473,10.076206,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,551
48.0697961,10.1260109,93,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,,,,,556
48.22173,9.87497,66,DC Kupplung Combo,33,DC Kupplung Combo,33,,,,,514
48.230169,9.888418,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,528
48.230389,9.885396,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,508
48.226264,9.879258,30,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,501
48.22086995,9.873656631,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,513
48.241357,9.86638,22,AC Steckdose Typ 2,22,,,,,,,497
48.241357,9.86638,22,AC Steckdose Typ 2,22,,,,,,,497
48.241252,9.883304,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,,,,,513
48.174909,9.974139,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,521
48.26728821,9.89018631,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,500
48.122172,9.961048,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,568
48.1911,10.020727,22,AC Steckdose Typ 2,22,,,,,,,541
48.1982613,9.495429,22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,,,,,531
48.15492,9.474131,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,541
48.154073,9.470771,73,"DC Kupplung Combo, DC CHAdeMO",50,AC Steckdose Typ 2,22,,,,,531
48.15164,9.47771,150,DC Kupplung Combo,150,DC Kupplung Combo,150,,,,,530
48.15164,9.47771,150,DC Kupplung Combo,150,DC Kupplung Combo,150,,,,,530
48.154433,9.50016,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,546
48.177931,9.611834,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,565
48.68333718,9.011008086,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,442
48.68333718,9.011008086,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,442
48.68333718,9.011008086,22,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,442
48.686785,9.013469,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,452
48.688006,8.999776,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,434
48.696,9.0275,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,462
48.6844496,9.0306014,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,471
48.6890132,9.0260393,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,497
48.692593,9.013739,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,445
48.6846647,9.0117138,30,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,,,,,445
48.6790811,9.0131391,93,"AC Steckdose Typ 2, AC Kupplung Typ 2",50,"AC Kupplung Typ 2, DC Kupplung Combo",50,"AC Kupplung Typ 2, DC CHAdeMO",44,,,446
48.69435522,9.012954682,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69433677,9.0128921,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69431672,9.012831301,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69429768,9.01277028,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69427821,9.012707919,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69425962,9.012646899,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69424014,9.01258722,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69422111,9.012525529,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69420252,9.012463167,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,435
48.69418354,9.012402597,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,435
48.6939663,9.013232741,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69394816,9.013171721,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69392868,9.01311003,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69390965,9.01304968,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69386981,9.012926298,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69385211,9.012865278,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69383308,9.012803587,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69381183,9.012741226,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6937928,9.012680206,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69377402,9.012620158,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69375473,9.012558165,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69416327,9.012340236,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69414379,9.012277204,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,436
48.69396962,9.013241558,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6939493,9.013180538,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6939308,9.013120188,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6939099,9.013057827,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.6938908,9.012996442,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69387187,9.012933774,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69385267,9.012874095,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69383383,9.012811734,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69381419,9.012750714,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69379529,9.012690364,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
48.69377629,9.012630873,44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,,,,,439
